Category_1,Category_2,Ordinal_1,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Target
B,X,Medium,0.728,4.68,2.207,-1.503,1.238,-2.094,2.31,-4.957,-0.0636,-2.027,-1.189,3.994,77.2
A,Y,Medium,1.187,0.08356,2.771,0.756,-1.141,0.9062,0.845,1.003,1.667,-0.08386,-1.844,0.9526,58.78
B,Y,Low,-4.793,1.854,1.027,-0.7573,1.855,0.9785,1.664,3.895,-0.348,-0.1881,-2.54,3.576,50.0
B,Y,Medium,-1.512,-0.2191,1.634,-0.3198,0.593,-0.454,-0.1495,0.6763,-0.3958,0.7075,3.703,-3.322,80.44
,X,High,-0.776,2.613,0.651,-4.348,0.0322,0.5073,0.9014,0.205,2.0,-2.846,-0.698,1.615,47.75
A,Y,Low,-2.406,1.356,,-2.959,-0.478,1.973,0.685,-3.053,2.273,2.172,3.086,-3.111,52.8
C,Y,Medium,-1.197,1.841,-0.4285,2.973,2.303,3.115,2.865,-0.6597,1.369,1.444,0.7876,4.035,68.25
C,X,Low,0.757,4.363,1.954,-0.5405,0.6523,-2.67,0.6167,5.516,0.801,-1.469,3.367,1.503,34.34
B,X,Low,2.584,1.73,,-3.342,1.762,-0.356,0.4575,2.201,-0.09357,1.813,3.033,3.92,-44.9
C,X,Low,1.07,2.707,0.2035,-0.699,2.635,2.236,-0.7607,2.094,4.023,0.989,3.29,-4.586,46.28
C,X,Low,-0.243,0.834,1.158,2.84,-0.9673,-0.472,1.995,2.568,-0.905,3.23,1.115,-0.0884,72.9
A,X,High,-0.2996,-0.5527,-3.932,0.4497,-1.563,2.129,1.104,0.3103,2.027,-2.492,3.98,-1.273,39.03
,X,Low,-0.808,-3.695,1.326,-0.8184,,5.492,1.359,1.993,1.8955,0.9497,8.27,1.153,49.78
C,Y,,0.04495,-1.966,3.344,-0.689,2.422,-0.54,2.354,0.2512,2.201,-0.894,2.637,0.5464,132.0
B,Y,Low,1.557,0.1669,-1.158,0.634,1.026,-0.9683,1.062,-0.7456,1.561,2.455,2.145,2.18,10.19
B,Y,Medium,0.3577,,1.852,-1.401,-1.591,0.02408,0.1076,-1.857,0.1173,-2.012,0.5273,-1.136,59.3
C,X,High,2.848,1.263,2.709,1.21,-0.05255,0.2769,-0.349,3.176,1.105,2.088,-0.0952,-3.854,46.53
B,X,Low,6.734,,0.709,0.65,1.426,4.746,0.39,,-0.477,1.459,0.2893,-0.908,-65.6
A,Y,Medium,4.562,0.75,0.4814,4.85,0.02637,-2.266,1.56,1.079,-0.1182,1.75,3.857,3.613,14.02
A,X,Medium,2.066,3.346,,-0.6274,-0.1758,-1.356,,-2.836,0.1763,-2.525,-2.904,2.158,30.42
C,Y,Medium,-3.398,2.97,2.941,1.305,-0.4514,0.3308,1.2705,-0.9634,,-2.762,-1.888,3.588,132.2
B,X,,-4.523,-3.412,2.557,0.855,0.628,0.2617,1.706,2.078,0.4648,-2.074,2.477,6.113,152.4
B,X,Medium,-1.29,-4.05,1.51,3.229,-0.1338,1.226,0.4714,-0.2338,1.029,-1.227,2.316,0.5156,156.8
C,X,Low,0.3352,1.471,-0.943,-1.089,1.211,-3.17,3.092,1.584,2.646,,-0.595,6.066,58.0
